y_plus,uu_yhat,vv_yhat,ww_yhat,uu_y,vv_y,ww_y
2650,1.3,1.3,1.3,2.102668763,0.779009291,1.011109708
19.7,3.906666499,3.906659626,3.906659458,8.907453638,0.513509568,2.309847213
175,3.066666668,3.066666663,3.066666664,5.527813904,1.271979296,2.40894951
296,1.72,1.72,1.72,2.861636234,0.975995019,1.31821462
65.2,1.373333333,1.373333333,1.373333333,2.357835464,0.658833734,1.050919216
8.88,3.013542271,3.012561876,3.012770814,7.534038207,0.162208036,1.400045423
3000,1.146666667,1.146666667,1.146666667,1.82222119,0.712700052,0.894227074
1340,0.933333333,0.933333333,0.933333333,1.492084052,0.605208565,0.710939684
1.03,0.078530982,0.073922746,0.071120394,0.23247435,-0.023615616,0.097673075
1180,2.113333333,2.113333333,2.113333333,3.671076143,1.117612202,1.560347423
2810,1.226666667,1.226666667,1.226666667,1.970588957,0.747842068,0.957277165
3370,0.993333333,0.993333333,0.993333333,1.559020144,0.650089202,0.775102681
4780,0.604666667,0.604666667,0.604666667,0.828463803,0.482031996,0.500562485
306,2.9,2.899999999,2.899999999,5.260260487,1.254622024,2.160962434
22.4,3.313333329,3.313333327,3.313333323,7.433888443,0.545283287,1.933709976
854,1.486666667,1.486666667,1.486666667,2.476288699,0.840297003,1.122842186
1640,1.826666667,1.826666667,1.826666667,3.087058231,1.008965463,1.366495031
2620,1.313333333,1.313333333,1.313333333,2.128160327,0.785013351,1.0212784
181,1.506666667,1.506666667,1.506666667,2.361917355,0.890084663,1.256098901
1910,1.666666667,1.666666667,1.666666667,2.798435361,0.941876416,1.268858923
1470,1.926666667,1.926666667,1.926666667,3.282557771,1.052016298,1.430932606
1720,0.638,0.638,0.638,0.969765294,0.47611502,0.500359112
4890,0.592666667,0.592666667,0.592666667,0.805340284,0.473620504,0.492119515
599,2.586666667,2.586666666,2.586666667,4.662929418,1.21782264,1.895787327
202,1.42,1.42,1.42,2.211819958,0.845893643,1.177159958
3940,0.793333333,0.793333333,0.793333333,1.200883232,0.568693941,0.626962493
1690,1.793333333,1.793333333,1.793333333,3.03220734,0.996232398,1.348269359
456,1.34,1.34,1.34,2.183111013,0.786008827,1.020846821
168,2.546666667,2.546666666,2.546666667,4.451412674,1.206808842,1.969129517
774,1.586666667,1.586666667,1.586666667,2.672314654,0.886523989,1.191378423
1670,0.666666667,0.666666667,0.666666667,1.02609569,0.49035734,0.519594151
2.94,0.623633646,0.618354847,0.617321826,1.520604882,0.001448401,0.431684592
1230,2.08,2.08,2.08,3.599028036,1.10704259,1.536228445
37.7,1.96,1.96,1.96,4.042666129,0.640101735,1.245888862
3340,1.006666667,1.006666667,1.006666667,1.579305361,0.654879074,0.784296369
2.13,0.241466238,0.241141789,0.241274694,0.694768402,-0.015265014,0.16888965
2080,1.58,1.58,1.58,2.626244885,0.901737506,1.208369731
1430,1.953333333,1.953333333,1.953333333,3.331928028,1.061680697,1.44727786
357,2.84,2.839999999,2.84,5.15539882,1.248163126,2.090168129
1930,1.66,1.66,1.66,2.777795237,0.937069872,1.261703026
40,3.546666716,3.546666441,3.546666491,6.897598477,0.97685595,2.765309286
14.3,3.54666668,3.546665363,3.546665377,8.541422315,0.344616131,1.754184668
78.3,2.44,2.44,2.44,4.182068264,1.168782327,1.985209596
5080,0.580666667,0.580666667,0.580666667,0.780262051,0.460693616,0.48195952
5180,0.579333333,0.579333333,0.579333333,0.774624548,0.45470507,0.478862613
2920,1.18,1.18,1.18,1.88357006,0.727249356,0.920658552
934,2.3,2.3,2.3,4.056270145,1.165124222,1.689972086
29.4,3.119999999,3.119999998,3.119999997,6.525775798,0.714291809,2.101721428
2790,1.233333333,1.233333333,1.233333333,1.986742007,0.751659274,0.963969347
313,0.993333333,0.993333333,0.993333333,1.510016358,0.641353915,0.814291733
221,2.44,2.44,2.44,4.276601711,1.18926213,1.860813669
266,1.8,1.8,1.8,2.996339929,1.013899902,1.381169783
1490,0.806666667,0.806666667,0.806666667,1.259987195,0.548513818,0.610099644
1850,1.706666667,1.706666667,1.706666667,2.860967608,0.956430955,1.290389847
56.3,3.373333349,3.373333272,3.373333288,6.231562897,1.155067827,2.721424695
1240,1.04,1.04,1.04,1.665596739,0.647162142,0.791004152
1580,1.86,1.86,1.86,3.153750063,1.024421666,1.388466517
2520,1.36,1.36,1.36,2.214789364,0.805392263,1.055345299
209,1.386666667,1.386666667,1.386666667,2.163012403,0.83155179,1.151574425
966,0.510666667,0.510666667,0.510666667,0.696681222,0.394622326,0.380177222
4550,0.64,0.64,0.64,0.897203138,0.501817564,0.524284445
342,2.86,2.859999999,2.859999999,5.186281191,1.250045435,2.109491906
7.81,2.386671522,2.386658137,2.386662992,6.030644122,0.142149432,1.025878429
28.6,3.433333328,3.433333308,3.433333302,7.20640354,0.725798544,2.348502424
4390,0.673333333,0.673333333,0.673333333,0.961292213,0.517335264,0.545629046
97.4,2.74,2.739999999,2.74,4.782300241,1.235105535,2.197798837
664,2.526666667,2.526666666,2.526666667,4.53781597,1.208679862,1.853211636
1520,0.78,0.78,0.78,1.217624617,0.538072797,0.592704596
228,2.42,2.42,2.42,4.253783532,1.186765887,1.847161225
